time,body_name,x,y,z,vx,vy,vz
0,Sun,0,0,0,0,0,0
0,Earth,1.496e+11,0,0,0,29780,0
0,Moon,1.496e+11,3.844e+08,0,0,29780,1022
3600,Sun,0.233654,7.29137e-06,0,6.4904e-05,2.02538e-09,0
3600,Earth,1.496e+11,1.07208e+08,0,-21.354,29780.1,0
3600,Moon,1.496e+11,4.91573e+08,3.6792e+06,-21.3538,29770.2,1022
7200,Sun,0.700963,0.000189318,6.97875e-08,0.000129808,5.0563e-08,1.93854e-11
7200,Earth,1.496e+11,2.14417e+08,4.11424,-42.7081,29780.2,0.00114284
7200,Moon,1.496e+11,5.9871e+08,7.35806e+06,-42.7075,29760.5,1021.91
10800,Sun,1.40193,0.000713525,2.79149e-07,0.000194712,1.45613e-07,5.8156e-11
10800,Earth,1.496e+11,3.21626e+08,16.4577,-64.0621,29780.3,0.00342875
10800,Moon,1.496e+11,7.05813e+08,1.10363e+07,-64.0611,29750.7,1021.72
14400,Sun,2.33654,0.00174736,6.97871e-07,0.000259616,2.87175e-07,1.16312e-10
14400,Earth,1.49599e+11,4.28836e+08,41.146,-85.4161,29780.4,0.00685785
14400,Moon,1.49599e+11,8.1288e+08,1.47134e+07,-85.4146,29740.8,1021.44
18000,Sun,3.50482,0.00345825,1.39574e-06,0.00032452,4.7525e-07,1.93852e-10
18000,Earth,1.49599e+11,5.36045e+08,82.2946,-106.77,29780.4,0.0114302
18000,Moon,1.49599e+11,9.19912e+08,1.83893e+07,-106.768,29731,1021.07
21600,Sun,4.90674,0.00601366,2.44254e-06,0.000389424,7.09836e-07,2.90777e-10
21600,Earth,1.49598e+11,6.43255e+08,144.019,-128.124,29780.5,0.0171456
21600,Moon,1.49598e+11,1.02691e+09,2.20634e+07,-128.121,29721.2,1020.6
25200,Sun,6.54232,0.00958103,3.90805e-06,0.000454327,9.90935e-07,4.07086e-10
25200,Earth,1.49598e+11,7.50465e+08,230.433,-149.478,29780.5,0.0240041
25200,Moon,1.49598e+11,1.13387e+09,2.57356e+07,-149.474,29711.3,1020.04
28800,Sun,8.41155,0.0143278,5.86205e-06,0.00051923,1.31855e-06,5.4278e-10
28800,Earth,1.49597e+11,8.57675e+08,345.652,-170.832,29780.5,0.0320052
28800,Moon,1.49597e+11,1.24079e+09,2.94053e+07,-170.827,29701.5,1019.38
32400,Sun,10.5144,0.0204214,8.37434e-06,0.000584134,1.69267e-06,6.97857e-10
32400,Earth,1.49597e+11,9.64885e+08,493.788,-192.186,29780.5,0.0411487
32400,Moon,1.49597e+11,1.34768e+09,3.30724e+07,-192.179,29691.6,1018.63
36000,Sun,12.851,0.0280293,1.15147e-05,0.000649037,2.1133e-06,8.72318e-10
36000,Earth,1.49596e+11,1.07209e+09,678.951,-213.539,29780.5,0.0514342
36000,Moon,1.49596e+11,1.45454e+09,3.67365e+07,-213.532,29681.7,1017.79
39600,Sun,15.4211,0.0373189,1.53529e-05,0.000713939,2.58045e-06,1.06616e-09
39600,Earth,1.49595e+11,1.1793e+09,905.25,-234.893,29780.5,0.0628609
39600,Moon,1.49595e+11,1.56136e+09,4.03972e+07,-234.884,29671.9,1016.86
43200,Sun,18.225,0.0484577,1.99587e-05,0.000778841,3.09411e-06,1.27939e-09
43200,Earth,1.49594e+11,1.28651e+09,1176.79,-256.246,29780.4,0.0754284
43200,Moon,1.49594e+11,1.66814e+09,4.40541e+07,-256.236,29662,1015.83
