time,body_name,x,y,z,vx,vy,vz
0,Sun,0,0,0,0,0,0
0,Mercury,5.791e+10,0,0,0,47900,0
0,Venus,1.082e+11,0,0,0,35000,0
0,Earth,1.496e+11,0,0,0,29800,0
0,Mars,2.279e+11,0,0,0,24100,0
3600,Sun,0.6863,0,0,0.000190639,0,0
3600,Mercury,5.79095e+10,1.7244e+08,0,-142.47,47900,0
3600,Venus,1.082e+11,1.26e+08,0,-40.8104,35000,0
3600,Earth,1.496e+11,1.0728e+08,0,-21.3493,29800,0
3600,Mars,2.279e+11,8.676e+07,0,-9.19941,24100,0
7200,Sun,2.0589,0.000841944,0,0.000381278,2.33873e-07,0
7200,Mercury,5.79085e+10,3.44878e+08,0,-284.941,47899.6,0
7200,Venus,1.082e+11,2.52e+08,0,-81.6208,35000,0
7200,Earth,1.496e+11,2.1456e+08,0,-42.6987,29800,0
7200,Mars,2.279e+11,1.7352e+08,0,-18.3988,24100,0
10800,Sun,4.1178,0.00336778,0,0.000571917,7.01622e-07,0
10800,Mercury,5.79069e+10,5.17314e+08,0,-427.412,47898.7,0
10800,Venus,1.08199e+11,3.77999e+08,0,-122.431,34999.9,0
10800,Earth,1.496e+11,3.2184e+08,0,-64.048,29800,0
10800,Mars,2.279e+11,2.6028e+08,0,-27.5982,24100,0
14400,Sun,6.863,0.00841947,0,0.000762555,1.40325e-06,0
14400,Mercury,5.79049e+10,6.89745e+08,0,-569.88,47897.5,0
14400,Venus,1.08199e+11,5.03998e+08,0,-163.241,34999.7,0
14400,Earth,1.49599e+11,4.29119e+08,0,-85.3973,29799.9,0
14400,Mars,2.279e+11,3.4704e+08,0,-36.7977,24100,0
18000,Sun,10.2945,0.016839,0,0.000953193,2.33875e-06,0
18000,Mercury,5.79023e+10,8.62169e+08,0,-712.346,47895.8,0
18000,Venus,1.08198e+11,6.29997e+08,0,-204.052,34999.5,0
18000,Earth,1.49599e+11,5.36399e+08,0,-106.747,29799.8,0
18000,Mars,2.279e+11,4.338e+08,0,-45.9971,24100,0
21600,Sun,14.4123,0.0294682,0,0.00114383,3.50812e-06,0
21600,Mercury,5.78992e+10,1.03459e+09,0,-854.807,47893.6,0
21600,Venus,1.08197e+11,7.55994e+08,0,-244.862,34999.3,0
21600,Earth,1.49598e+11,6.43678e+08,0,-128.096,29799.8,0
21600,Mars,2.27899e+11,5.2056e+08,0,-55.1965,24099.9,0
25200,Sun,19.2163,0.0471491,0,0.00133446,4.91137e-06,0
25200,Mercury,5.78956e+10,1.20699e+09,0,-997.262,47891.1,0
25200,Venus,1.08196e+11,8.8199e+08,0,-285.671,34999,0
25200,Earth,1.49598e+11,7.50957e+08,0,-149.445,29799.7,0
25200,Mars,2.27899e+11,6.07319e+08,0,-64.3959,24099.9,0
28800,Sun,24.7067,0.0707237,0,0.0015251,6.54849e-06,0
28800,Mercury,5.78915e+10,1.37939e+09,0,-1139.71,47888.1,0
28800,Venus,1.08195e+11,1.00799e+09,0,-326.481,34998.7,0
28800,Earth,1.49597e+11,8.58235e+08,0,-170.794,29799.6,0
28800,Mars,2.27899e+11,6.94079e+08,0,-73.5953,24099.9,0
32400,Sun,30.8833,0.101034,0,0.00171573,8.41948e-06,0
32400,Mercury,5.78869e+10,1.55178e+09,0,-1282.15,47884.7,0
32400,Venus,1.08193e+11,1.13398e+09,0,-367.29,34998.3,0
32400,Earth,1.49597e+11,9.65513e+08,0,-192.143,29799.4,0
32400,Mars,2.27899e+11,7.80838e+08,0,-82.7946,24099.9,0
36000,Sun,37.7462,0.138921,0,0.00190635,1.05243e-05,0
36000,Mercury,5.78818e+10,1.72415e+09,0,-1424.58,47880.9,0
36000,Venus,1.08192e+11,1.25997e+09,0,-408.098,34997.9,0
36000,Earth,1.49596e+11,1.07279e+09,0,-213.492,29799.3,0
36000,Mars,2.27898e+11,8.67598e+08,0,-91.994,24099.8,0
39600,Sun,45.2953,0.185228,0,0.00209698,1.2863e-05,0
39600,Mercury,5.78762e+10,1.8965e+09,0,-1567,47876.7,0
39600,Venus,1.0819e+11,1.38596e+09,0,-448.907,34997.4,0
39600,Earth,1.49595e+11,1.18007e+09,0,-234.841,29799.2,0
